Service.Name,Service.Size,Cost.Per.Hour
EC2,t1.micro,0.027
EC2,t2.micro,0.02
EC2,t2.small,0.04
EC2,t2.medium,0.08
EC2,m1.medium,0.117
EC2,m3.medium,0.098
EC2,m3.large,0.196
EC2,m3.xlarge,0.392
EC2,m3.2xlarge,0.784
EC2,c3.large,0.132
EC2,c3.xlarge,0.265
EC2,c3.2xlarge,0.529
EC2,c3.4xlarge,1.058
EC2,c3.8xlarge,2.117
EC2,g2.2xlarge,0.898
EC2,r3.large,0.21
EC2,r3.xlarge,0.42
EC2,r3.2xlarge,0.84
EC2,r3.4xlarge,1.68
EC2,r3.8xlarge,3.36
EC2,i2.xlarge,1.018
EC2,i2.2xlarge,2.035
EC2,i2.4xlarge,4.07
EC2,i2.8xlarge,8.14
EC2,hs1.8xlarge,5.57
