Service.Name,Service.Size,Cost.Per.Hour
EC2,t1.micro,0.022
EC2,t2.micro,0.020
EC2,t2.small,0.040
EC2,t2.medium,0.080
EC2,m1.medium,0.122
EC2,m3.medium,0.098
EC2,m3.large,0.196
EC2,m3.xlarge,0.392
EC2,m3.2xlarge,0.784
EC2,c3.large,0.132
EC2,c3.xlarge,0.265
EC2,c3.2xlarge,0.529
EC2,c3.4xlarge,1.058
EC2,c3.8xlarge,2.117
EC2,c4.large,0.152
EC2,c4.xlarge,0.304
EC2,c4.2xlarge,0.608
EC2,c4.4xlarge,1.216
EC2,c4.8xlarge,2.432
EC2,g2.2xlarge,0.898
EC2,r3.large,0.210
EC2,r3.xlarge,0.420
EC2,r3.2xlarge,0.840
EC2,r3.4xlarge,1.680
EC2,r3.8xlarge,3.360
EC2,i2.xlarge,1.018
EC2,i2.2xlarge,2.035
EC2,i2.4xlarge,4.070
EC2,i2.8xlarge,8.140
EC2,hs1.8xlarge,5.570
RDS,db.t2.micro,0.026
RDS,db.t2.small,0.052
RDS,db.t2.medium,0.104
RDS,db.m3.medium,0.120
RDS,db.m3.large,0.240
RDS,db.m3.xlarge,0.485
RDS,db.m3.2xlarge,0.965
RDS,db.r3.large,0.285
RDS,db.r3.xlarge,0.570
RDS,db.r3.2xlarge,1.135
RDS,db.r3.4xlarge,2.270
RDS,db.r3.8xlarge,4.540
Redshift,dw1.xlarge,0.850
Redshift,dw1.8xlarge,6.800
Redshift,dw2.large,0.250
Redshift,dw2.8xlarge,4.800
