Service.Name,Service.Size,Cost.Per.Hour
EC2,t2.micro,0.013
EC2,t2.small,0.026
EC2,t2.medium,0.052
EC2,m3.medium,0.07
EC2,m3.large,0.14
EC2,m3.xlarge,0.28
EC2,m3.2xlarge,0.56
EC2,c4.large,0.116
EC2,c4.xlarge,0.232
EC2,c4.2xlarge,0.464
EC2,c4.4xlarge,0.928
EC2,c4.8xlarge,1.856
EC2,c3.large,0.105
EC2,c3.xlarge,0.21
EC2,c3.2xlarge,0.42
EC2,c3.4xlarge,0.84
EC2,c3.8xlarge,1.68
EC2,g2.2xlarge,0.65
EC2,r3.large,0.175
EC2,r3.xlarge,0.35
EC2,r3.2xlarge,0.7
EC2,r3.4xlarge,1.4
EC2,r3.8xlarge,2.8
EC2,i2.xlarge,0.853
EC2,i2.2xlarge,1.705
EC2,i2.4xlarge,3.41
EC2,i2.8xlarge,6.82
EC2,d2.xlarge,0.69
EC2,d2.2xlarge,1.38
EC2,d2.4xlarge,2.76
EC2,d2.8xlarge,5.52
